,Artist,Artist_ID,Genero,long
0,Gorillaz,1,"['alternative hip hop', 'modern rock', 'rock']",3
1,Red Hot Chili Peppers,2,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",5
2,50 Cent,3,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",6
3,Metallica,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",5
4,Coldplay,5,"['permanent wave', 'pop']",2
5,Daft Punk,6,"['electro', 'filter house', 'rock']",3
6,Linkin Park,7,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",5
7,Radiohead,8,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",6
8,AC/DC,9,"['australian rock', 'hard rock', 'rock']",3
9,Black Eyed Peas,10,"['dance pop', 'pop', 'pop rap']",3
10,Michael Jackson,11,"['r&b', 'soul']",2
11,P!nk,12,"['dance pop', 'pop']",2
12,Eminem,13,"['detroit hip hop', 'hip hop', 'rap']",3
13,Pharrell Williams,14,"['dance pop', 'pop']",2
14,Khalid,15,"['pop', 'pop r&b']",2
15,Shakira,16,"['colombian pop', 'dance pop', 'latin pop', 'pop']",4
16,Machine Gun Kelly,17,"['ohio hip hop', 'pop rap']",2
17,Nicky Jam,18,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",4
18,The Beatles,19,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",6
19,Pitbull,20,"['dance pop', 'miami hip hop', 'pop']",3
20,Sean Paul,21,"['dance pop', 'dancehall', 'pop', 'pop rap']",4
21,Elvis Presley,22,"['rock-and-roll', 'rockabilly']",2
22,2Pac,23,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",5
23,Snoop Dogg,24,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",6
24,Lil Wayne,25,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",5
25,Sia,26,"['australian dance', 'australian pop', 'pop']",3
26,Fleetwood Mac,27,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",5
27,ABBA,28,"['europop', 'swedish pop']",2
28,Frank Sinatra,29,"['adult standards', 'easy listening', 'lounge']",3
29,Tiësto,30,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",8
30,Elton John,31,"['glam rock', 'mellow gold', 'piano rock', 'rock']",4
31,JAY-Z,32,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",5
32,21 Savage,33,"['atl hip hop', 'hip hop', 'rap', 'trap']",4
33,Kanye West,34,"['chicago rap', 'hip hop', 'rap']",3
34,Luis Miguel,35,"['bolero', 'latin pop']",2
35,Beyoncé,36,"['pop', 'r&b']",2
36,Daddy Yankee,37,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",4
37,Don Toliver,38,['rap'],1
38,Camilo,39,"['colombian pop', 'latin pop', 'reggaeton colombiano']",3
39,Britney Spears,40,"['dance pop', 'pop']",2
40,Farruko,41,"['reggaeton', 'trap latino', 'urbano latino']",3
41,Wisin & Yandel,42,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",4
42,Disney,43,"[""children's music"", 'movie tunes']",2
43,Chris Brown,44,"['r&b', 'rap']",2
44,Tory Lanez,45,"['canadian hip hop', 'canadian trap', 'melodic rap', 'r&b', 'rap', 'toronto rap', 'trap']",7
45,Mariah Carey,46,"['dance pop', 'pop', 'urban contemporary']",3
46,A.R. Rahman,47,['filmi'],1
47,Die drei ???,48,['hoerspiel'],1
48,Pritam,49,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",4
49,Shreya Ghoshal,50,"['desi pop', 'filmi', 'modern bollywood']",3
50,Pink Floyd,51,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",7
51,System Of A Down,52,"['alternative metal', 'nu metal', 'rap metal', 'rock']",4
52,Green Day,53,"['modern rock', 'permanent wave', 'punk', 'rock']",4
53,Ludovico Einaudi,54,"['bow pop', 'compositional ambient', 'neo-classical']",3
54,Muse,55,"['modern rock', 'permanent wave', 'rock']",3
55,Aerosmith,56,"['album rock', 'classic rock', 'hard rock', 'rock']",4
56,Slipknot,57,"['alternative metal', 'nu metal', 'rap metal', 'rock']",4
57,Oasis,58,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",5
58,The Rolling Stones,59,"['album rock', 'british invasion', 'classic rock', 'rock']",4
59,Hans Zimmer,60,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",3
60,Deftones,61,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",5
61,blink-182,62,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",6
62,Bob Marley & The Wailers,63,"['reggae', 'roots reggae']",2
63,David Bowie,64,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",5
64,Bon Jovi,65,"['glam metal', 'rock']",2
65,Dr. Dre,66,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",5
66,Creedence Clearwater Revival,67,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",5
67,U2,68,"['irish rock', 'permanent wave', 'rock']",3
68,Nate Dogg,69,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",5
69,Juanes,70,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",4
70,Maná,71,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",6
71,Bee Gees,72,"['disco', 'mellow gold', 'soft rock']",3
72,Billy Joel,73,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",8
73,The Notorious B.I.G.,74,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",5
74,Enrique Iglesias,75,"['dance pop', 'latin pop', 'mexican pop']",3
75,Timbaland,76,"['dance pop', 'pop', 'pop rap']",3
76,Alejandro Sanz,77,"['cantautor', 'latin arena pop', 'latin pop', 'mexican pop']",4
77,Whitney Houston,78,['dance pop'],1
78,Madonna,79,"['dance pop', 'pop']",2
79,Alicia Keys,80,"['neo soul', 'pop', 'r&b']",3
80,John Mayer,81,"['neo mellow', 'singer-songwriter']",2
81,Christina Aguilera,82,"['dance pop', 'pop']",2
82,Marc Anthony,83,"['latin pop', 'modern salsa', 'salsa', 'tropical']",4
83,Ricardo Arjona,84,"['cantautor', 'latin arena pop', 'latin pop']",3
84,Stevie Wonder,85,"['motown', 'soul']",2
85,Ludacris,86,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",9
86,Plan B,87,"['reggaeton', 'trap latino', 'urbano latino']",3
87,Aventura,88,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",6
88,Usher,89,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",8
89,Vicente Fernández,90,"['mariachi', 'ranchera']",2
90,Alejandro Fernández,91,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']",6
91,T-Pain,92,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",9
92,Johann Sebastian Bach,93,"['baroque', 'classical', 'early music', 'german baroque']",4
93,Jhené Aiko,94,['r&b'],1
94,Alka Yagnik,95,"['filmi', 'hare krishna', 'modern bollywood']",3
95,Udit Narayan,96,"['chutney', 'filmi']",2
96,Vishal-Shekhar,97,"['desi pop', 'filmi', 'modern bollywood']",3
97,Bibi und Tina,98,"['hoerspiel', 'kleine hoerspiel']",2
98,Yuvan Shankar Raja,99,"['filmi', 'kollywood']",2
99,Bibi Blocksberg,100,['hoerspiel'],1
100,Pearl Jam,101,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",5
101,The Offspring,102,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",7
102,Johnny Cash,103,"['arkansas country', 'outlaw country', 'rock']",3
103,Eagles,104,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",7
104,Korn,105,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",7
105,MGMT,106,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",5
106,MF DOOM,107,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop']",4
107,The Cure,108,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",4
108,Jack Johnson,109,['neo mellow'],1
109,Outkast,110,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",6
110,Ice Cube,111,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",6
111,Phil Collins,112,"['rock drums', 'soft rock']",2
112,John Williams,113,"['orchestral soundtrack', 'soundtrack']",2
113,Soda Stereo,114,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']",6
114,Nas,115,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",7
115,Luis Fonsi,116,"['latin pop', 'puerto rican pop']",2
116,Backstreet Boys,117,"['boy band', 'dance pop', 'pop']",3
117,Los Ángeles Azules,118,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",5
118,Zedd,119,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",5
119,Nat King Cole,120,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",5
120,Armin van Buuren,121,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",6
