,Track_Id,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Date
0,11000,Cherish,Chevy,Unappreciated,album,0.809,0.523,10.0,-6.393,0.173,0.332,1.23e-06,0.279,0.742,135.648,205720.0,Cherish- Chevy,inmyblueEckotee,155280.0,1601.0,67.0,False,False,1007412.0,2006-01-01
1,11001,Franz Ferdinand,Take Me Out,Franz Ferdinand,album,0.277,0.663,4.0,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561,237027.0,Franz Ferdinand - Take Me Out (Official Video),Domino Recording Co.,48395842.0,363363.0,6898.0,True,True,649504490.0,2004-02-16
2,11002,Franz Ferdinand,This fffire - New Version,This fffire,single,0.442,0.887,4.0,-5.943,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,218080.0,Franz Ferdinand - This Fire (Video),franzferdinandVEVO,9584587.0,121780.0,3139.0,True,True,24815021.0,2004-11-15
3,11003,Franz Ferdinand,Do You Want To,You Could Have It So Much Better,album,0.412,0.944,0.0,-2.896,0.0448,0.0724,0.000493,0.801,0.79,123.091,215000.0,Franz Ferdinand - Do You Want To (Video),franzferdinandVEVO,12779237.0,97358.0,2604.0,True,True,72996535.0,2005-10-03
4,11004,Franz Ferdinand,No You Girls,Tonight,album,0.677,0.916,2.0,-4.102,0.0296,0.0086,7.68e-05,0.0967,0.878,104.78,223787.0,Franz Ferdinand - No You Girls (Official Video),Domino Recording Co.,14179727.0,65954.0,2503.0,True,True,76187432.0,2009-01-27
5,11005,Franz Ferdinand,This Fire,Franz Ferdinand,album,0.549,0.87,7.0,-9.453,0.0543,0.00249,2.08e-06,0.127,0.671,138.078,254693.0,Franz Ferdinand - This Fire (Video),franzferdinandVEVO,9584587.0,121780.0,3139.0,True,True,31048951.0,2004-02-16
6,11006,Franz Ferdinand,The Dark Of The Matinée,Franz Ferdinand,album,0.452,0.805,6.0,-4.368,0.0299,0.00551,3.18e-06,0.221,0.708,114.431,246120.0,Franz Ferdinand - The Dark Of The Matinée (Official Video),Domino Recording Co.,8842575.0,51003.0,1206.0,True,True,41668580.0,2004-02-16
7,11007,Franz Ferdinand,Walk Away,You Could Have It So Much Better,album,0.584,0.836,2.0,-4.487,0.0348,0.132,1.1e-06,0.144,0.495,124.131,220347.0,Franz Ferdinand - Walk Away (Official Video),Domino Recording Co.,8369102.0,44792.0,1015.0,True,True,27195290.0,2005-10-03
8,11008,Franz Ferdinand,Evil Eye,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",album,0.702,0.815,11.0,-3.289,0.0296,0.0148,3.85e-05,0.0486,0.819,110.968,167253.0,Franz Ferdinand - Evil Eye (Official Video),franzferdinandVEVO,6908476.0,61473.0,2462.0,True,True,28462260.0,2013-08-26
9,11009,Franz Ferdinand,Love Illumination,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",album,0.53,0.864,4.0,-3.323,0.0557,0.0978,3.12e-06,0.153,0.85,153.314,222282.0,Franz Ferdinand - Love Illumination (Official Video),franzferdinandVEVO,14154580.0,102001.0,2448.0,True,True,37877686.0,2013-08-26
